method,embedding_model,pooling_method,classifier_model,accuracy,macro_precision,macro_recall,macro_f1,emissions_train_val,emissions_test
string_match,,,,0.7871581450653984,0.6188224644487021,0.5056211773569282,0.45642997707125965,0.0,1.68635921405546e-06
fuzzy_match,,,,0.6323424494649227,0.5615854934996498,0.5859219337672725,0.554470248044387,4.3973911248678044e-05,3.0287660518386104e-06
BERT_threshold,sentence-transformers_paraphrase-multilingual-mpnet-base-v2,,,0.7083234244946492,0.5876506272536933,0.5992876487788827,0.5916770703287557,0.0004711146106614418,0.00012190550989127126
BERT_classifiers,ibm-granite_granite-embedding-278m-multilingual,max,KNN,0.8590963139120095,0.794063465873613,0.7675188544018627,0.7793949428971618,0.0018211987691979215,0.0004451116835733658
BERT_classifiers,sentence-transformers_paraphrase-multilingual-mpnet-base-v2,concatenate,DecisionTree,0.8288941736028538,0.7439717302378794,0.7448702138915555,0.7444188729352943,0.0010435247167149,0.00012249451242624183
BERT_classifiers,ibm-granite_granite-embedding-278m-multilingual,max,RandomForest,0.8533888228299643,0.8179298634690323,0.7017891761646406,0.7356217813775525,0.0029284639594971,0.0004423577022879723
BERT_classifiers,ibm-granite_granite-embedding-278m-multilingual,min,LogReg,0.8231866825208085,0.7497965204720052,0.6506486872268573,0.6757489182897085,0.0017687962072665223,0.0004428866156926898
BERT_classifiers,ibm-granite_granite-embedding-278m-multilingual,max,SVM,0.8239001189060642,0.7578719348489756,0.6422873557002358,0.6680021082243701,0.0017787813465834268,0.0004434641909274739
